batter,player_name,season,BAE_AE,n_bip,RAE_AE,n_baserunning_events,SBCS_value,n_sb,n_cs,Total_BsR
670032,Nicky Lopez,2021,20.2781533291236,432,4.70486688857249,272,3.95,22,1,28.9330202176961
516782,Starling Marte,2021,18.1976917442915,354,0.548294645919384,223,7.15,47,5,25.8959863902109
593428,Xander Bogaerts,2021,6.48165591363433,391,18.304035178356,275,0.55,5,1,25.3356910919904
668227,Randy Arozarena,2021,21.1195847545576,336,4.30614127465096,265,-0.5,20,10,24.9257260292086
572041,AJ Pollock,2021,9.64403732374666,281,7.5955166340207,181,1.35,9,1,18.5895539577674
668731,Akil Baddoo,2021,14.1625481734601,280,1.9958520096367,192,1.8,18,4,17.9584001830968
593160,Whit Merrifield,2021,7.96103700800597,557,3.20613372898123,314,6.2,40,4,17.3671707369872
642715,Willy Adames,2021,16.151724051098,311,1.99743533543174,212,-0.8,5,4,17.3491593865298
607208,Trea Turner,2021,17.687791505362,458,-4.7429171522567,274,4.15,32,5,17.0948743531053
602074,Yonathan Daza,2021,5.000545369906,243,11.9927337229798,142,-0.05,2,1,16.9432790928859
621035,Chris Taylor,2021,12.3563152603723,321,1.93220871570875,247,2.15,13,1,16.4385239760811
664702,Myles Straw,2021,9.91931894912348,432,3.01678359563736,312,3.3,30,6,16.2361025447608
595281,Kevin Kiermaier,2021,12.3804923838543,246,3.51474499052094,154,-0.45,9,5,15.4452373743752
544725,Leury García,2021,7.87297172923309,322,7.01322085387142,195,0.3,6,2,15.1861925831045
621563,Joey Wendle,2021,11.6237559284665,331,4.43285766193139,193,-1.1,8,6,14.9566135903979
606132,Raimel Tapia,2021,9.50795594468219,409,3.90114354364099,253,1.3,20,6,14.7090994883232
656775,Cedric Mullins,2021,11.7054942260736,449,0.258242605648952,281,2.4,30,8,14.3637368317225
594838,Philip Gosselin,2021,7.22571597817947,254,7.10819223810184,170,-0.1,4,2,14.2339082162813
605113,Nick Ahmed,2021,5.09993615013244,323,8.57491789693053,178,0.5,7,2,14.174854047063
666185,Dylan Carlson,2021,7.89611271601753,373,5.96215097031932,258,-0.05,2,1,13.8082636863368
662139,Daulton Varsho,2021,4.45951834758786,204,8.12496863149935,126,1.2,6,0,13.7844869790872
643393,Tony Kemp,2021,4.79664243624371,276,8.11676789215121,216,0.7,8,2,13.6134103283949
641313,Tim Anderson,2021,11.5404888476405,377,1.47128357594562,229,0.45,18,7,13.4617724235861
664056,Harrison Bader,2021,10.4244476477788,266,2.60201681301087,153,0,9,4,13.0264644607897
665487,Fernando Tatís,2021,3.43583364673235,282,5.90700819386941,220,3.2,25,4,12.5428418406018
670764,Taylor Walls,2021,4.4470578516214,101,7.22461025599296,79,-0.1,4,2,11.5716681076144
642708,Amed Rosario,2021,10.7295298703353,414,-1.90284988851607,238,2.6,13,0,11.4266799818193
606192,Teoscar Hernández,2021,4.04733934439867,360,6.70616468463582,235,0.6,12,4,11.3535040290345
572191,Michael Taylor,2021,6.43963443492774,330,4.96588381558022,213,-0.35,14,7,11.055518250508
571976,Wil Myers,2021,11.9118220815505,286,-0.293610479137564,203,-0.65,8,5,10.9682116024129
596115,Trevor Story,2021,0.424802459897137,363,9.12305728565409,214,1.3,20,6,10.8478597455512
608671,Travis Jankowski,2021,3.81199082806913,100,5.70145846857553,93,1,5,0,10.5134492966447
